"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Atp5g3",1.11937052667695e-06,-0.52854945991593,0.383,0.757,0.0347598129648993
"Thyn1",1.14784549717041e-06,-0.483014405087456,0.185,0.526,0.0356440462236328
"Pomp",1.34943902796409e-06,-0.416258744409356,0.185,0.526,0.0419041301353689
"Thap12",1.44227290669929e-06,0.950151770126437,0.259,0.046,0.0447869005717331
"Crip1",1.45741285606383e-06,-0.576802090863657,0.049,0.336,0.0452570414193501
"Serf2",1.46456649923555e-06,-0.541945842149328,0.543,0.862,0.0454791835007614
"Ubl4a",1.55042889456191e-06,-0.654944189496875,0.049,0.329,0.0481454684628308
"Sct",1.61309284770762e-06,-0.570356905939403,0.037,0.309,0.0500913721998647
"Zmat2",1.63790281435565e-06,-0.726985840470905,0.173,0.5,0.050861796094186
"Atp5k",1.66865010464116e-06,-0.650938645441343,0.259,0.592,0.051816591699422
"Sarnp",1.79205826881758e-06,-0.571925620170954,0.235,0.605,0.0556487854215924
"Rps4x",1.8184326162973e-06,-0.292442323487277,0.951,1,0.05646778803388
"Cycs",1.85944854964407e-06,-0.48085804091938,0.185,0.526,0.0577414558120972
"Dpy30",1.96608550343335e-06,-0.408290308418428,0.062,0.375,0.0610528531381158
"Pafah1b3",2.07719604968193e-06,-0.691968549478841,0.111,0.414,0.0645031689307728
"U2af2",2.15454885172069e-06,-0.675270058763463,0.074,0.362,0.0669052054924825
"Ddt",2.19335791155844e-06,-0.492881248241273,0.049,0.336,0.0681103432276243
"mt-Nd4l",2.20618105647097e-06,1.23868930105495,0.37,0.138,0.068508540346593
"Fth1",2.30748886617172e-06,-0.559900657023329,0.605,0.868,0.0716544517612304
"Rpl13a",2.32992792587154e-06,-0.57559143885547,0.519,0.809,0.0723512518820889
"Ube2n",2.36672298961924e-06,-0.441670129363944,0.198,0.572,0.0734938489966463
"Psmb6",2.49610217900427e-06,-0.579833987375836,0.321,0.704,0.0775114609646197
"Ndufab1",2.57787515248298e-06,-0.414289364958842,0.407,0.796,0.0800507571100541
"Rpl4",2.61673728218011e-06,-0.376577341268639,0.802,0.967,0.0812575428235389
"Arpc4",2.63745904808443e-06,-0.677078452430408,0.037,0.309,0.0819010158201658
"Pgk1",2.66001990583074e-06,-0.53329715111449,0.062,0.355,0.0826015981357621
"Tmem160",2.80554755400184e-06,-0.488763678342936,0.111,0.421,0.0871206681944192
"Hccs",2.83506971915048e-06,-0.660124403129709,0.148,0.454,0.08803741998878
"Ppp1ca",2.85034173269324e-06,-0.524937729713754,0.136,0.447,0.0885116618253233
"Sumo3",2.87003242377575e-06,-0.45689017604675,0.049,0.336,0.0891231168555085
